#Material, Thickness (Ang), Material_id
I, 4.972400000000001 , I_2dm-4714
Cl18Re6, 6.945400000000003 , ReCl3_2dm-3697
Ga2Mg, 3.4765999999999995 , MgGa2_2dm-3354
MnO8Re2, 6.8532 , Mn(ReO4)2_2dm-5157
Rb2Sr2, 3.9243000000000006 , RbSr_2dm-2107
Fe3Te4, 8.021599999999994 , Fe3Te4_2dm-2186
Cu2DyS2, 4.656699999999998 , Dy(CuS)2_2dm-3332
Cu2F2O4, 4.693300000000004 , CuO2F_2dm-4434
Ce4Se8, 6.3666 , CeSe2_2dm-3493
Bi7Cu4S12, 11.854699999999998 , Cu4Bi7S12_2dm-5096
AlBi, 7.727399999999998 , AlBi_2dm-6396
Br2Gd2, 6.091499999999997 , GdBr_2dm-5865
Sr2Zn, 3.9662999999999973 , Sr2Zn_2dm-1216
Ni2Tl, 4.733899999999996 , TlNi2_2dm-6094
Al4Cl4, 5.531299999999998 , AlCl_2dm-104
Se2Sn2, 5.25 , SnSe_2dm-4801
BrH3O, 3.455800000000001 , H3BrO_2dm-5037
Mg2P, 2.412300000000004 , Mg2P_2dm-143
Cl2Cu2, 4.277300000000003 , CuCl_2dm-1748
F24Ge10, 7.256499999999996 , Ge5F12_2dm-5872
Ge2Sb6, 6.407299999999996 , GeSb3_2dm-1825
Br14Re6Te14, 8.935 , Re3(TeBr)7_2dm-5088
Mg4Ti4, 2.4966000000000044 , MgTi_2dm-3145
Au4Te2, 5.198199999999999 , TeAu2_2dm-1349
Fe4S10Zn2, 6.480299999999996 , ZnFe2S5_2dm-5309
Mo3O8, 7.185700000000001 , Mo3O8_2dm-2781
Cr2Li2O26P8, 6.577899999999997 , LiCrP4O13_2dm-5893
Er4O26Te10, 8.714800000000002 , Er2Te5O13_2dm-4543
F2La2, 5.653999999999997 , LaF_2dm-1209
Cl10V2, 6.371499999999997 , VCl5_2dm-411
Ga2I6, 5.845299999999998 , GaI3_2dm-2743
C4Ca2H12O14, 3.676300000000002 , CaH6C2O7_2dm-4662
Ba2H8O6, 3.636800000000002 , BaH4O3_2dm-5880
In4N4, 3.7540999999999967 , InN_2dm-2756
C, 3.4300000000000064 , C_2dm-3274
Be2Sb, 3.7903999999999978 , Be2Sb_2dm-2483
BaSn2, 4.560799999999999 , BaSn2_2dm-5516
Ga2Te5, 8.937299999999995 , Ga2Te5_2dm-1708
I8Rh2, 6.609599999999998 , RhI4_2dm-1097
HoSb2, 4.865199999999998 , HoSb2_2dm-3946
C2HgN2S2, 6.364699999999996 , HgC2(SN)2_2dm-4287
AgP2Se6V, 8.240099999999996 , VAg(PSe3)2_2dm-4708
Ca2O4Si, 5.252299999999999 , Ca2SiO4_2dm-3301
Br2Na4O, 4.249999999999998 , Na4Br2O_2dm-3568
GeSe, 5.550000000000006 , GeSe_2dm-6369
Br2Mg, 5.958100000000001 , MgBr2_2dm-3820
Hf2Hg2, 4.9206 , HfHg_2dm-865
I2S2Sm2, 5.388499999999998 , SmSI_2dm-4355
C2N6, 5.489599999999996 , CN3_2dm-1338
Ho2Te6, 7.479099999999995 , HoTe3_2dm-3268
Cl2N2U2, 6.212799999999996 , UNCl_2dm-3481
F10Nb2, 6.2425000000000015 , NbF5_2dm-1476
Ba2Mg2Pb2, 4.328100000000001 , BaMgPb_2dm-3257
As2Cl6, 6.2149 , AsCl3_2dm-847
CeSi5, 2.793199999999999 , CeSi5_2dm-5469
Si2Th, 3.554199999999999 , ThSi2_2dm-2014
Se4Sn4, 5.25 , SnSe_2dm-6334
Cl2Nb, 6.019800000000001 , NbCl2_2dm-716
Ni4Ta4Te8, 5.469899999999996 , TaNiTe2_2dm-3435
Al4N4, 3.395400000000001 , AlN_2dm-2590
CdCl2, 5.6331 , CdCl2_2dm-3485
P6Sn2, 6.827099999999994 , SnP3_2dm-5824
Au4O4, 3.990800000000001 , AuO_2dm-2416
GeTe, 5.149999999999991 , GeTe_2dm-3977
Ga2Se5, 6.8889 , Ga2Se5_2dm-339
Ba2Cl2O6, 5.707899999999999 , BaClO3_2dm-5468
I8U2, 7.572199999999996 , UI4_2dm-711
In4Se6, 6.707099999999998 , In2Se3_2dm-2539
NSr2, 3.934499999999997 , Sr2N_2dm-2502
I4P18, 6.901099999999993 , P9I2_2dm-1961
Se2Zr2, 4.531999999999996 , ZrSe_2dm-2324
Ba2O12Sn4Tl2, 7.4361 , BaTl(SnO3)2_2dm-3964
F8Fe2Li2, 6.762999999999997 , LiFeF4_2dm-5664
Al2Mg2Se5, 6.225899999999997 , Mg2Al2Se5_2dm-4027
Ta13Te26, 7.2864999999999895 , TaTe2_2dm-1781
Br, 5.796300000000002 , Br_2dm-3373
Ga4N4, 3.4395999999999987 , GaN_2dm-2582
Cl2Ta, 6.305399999999995 , TaCl2_2dm-114
Ca2Cu2, 3.3895 , CaCu_2dm-1658
Te12V4, 7.189599999999993 , VTe3_2dm-1903
I6Sn2, 5.958199999999998 , SnI3_2dm-1813
B2Te5, 8.216399999999995 , B2Te5_2dm-1677
C2Ru, 3.8190000000000004 , RuC2_2dm-49
F2Nd, 5.930999999999998 , NdF2_2dm-981
Mo12O24, 5.698 , MoO2_2dm-2895
Ge2Se6Tl4, 7.8272999999999975 , Tl2GeSe3_2dm-3162
Cl2O16Se4V6, 6.3592 , V3Se2ClO8_2dm-5805
Ag4O12P2V2, 6.3192999999999975 , VAg2PO6_2dm-5621
Al2S2, 5.233699999999998 , AlS_2dm-2975
Er2Na2O16S4, 6.153900000000001 , NaEr(SO4)2_2dm-3340
Cl16Ta4, 6.5209 , TaCl4_2dm-1380
Cr12I24, 5.312700000000004 , CrI2_2dm-895
N3W2, 5.096699999999993 , W2N3_2dm-3149
O12Tl4V4, 5.9908 , TlVO3_2dm-3913
AuI4Li, 7.008899999999998 , LiAuI4_2dm-4958
Ag2O4Se, 6.176900000000002 , Ag2SeO4_2dm-3267
As2Ga2, 3.8397999999999963 , GaAs_2dm-1168
Br4Cd2Sb4Se6, 8.5874 , CdSb2Se3Br2_2dm-4231
O8Sb4, 5.582500000000002 , SbO2_2dm-5398
Cl16Nb4, 6.416999999999999 , NbCl4_2dm-1325
Hg2I2N2O6, 5.9197000000000015 , HgINO3_2dm-3984
Ge4Zr2, 2.611599999999998 , ZrGe2_2dm-3413
CaS9Sn4, 8.523200000000005 , CaSn4S9_2dm-3433
P2, 5.992599999999994 , P_2dm-3043
I6Sc2, 5.828899999999999 , ScI3_2dm-1765
Br8Mn3, 8.9137 , Mn3Br8_2dm-1850
Ag4O12Te4, 6.065500000000001 , AgTeO3_2dm-4400
Cl2H2Zr2, 3.8914 , ZrHCl_2dm-5857
MoPb3, 6.3861 , MoPb3_2dm-2413
P2Tm, 4.740399999999997 , TmP2_2dm-6246
Cl6Tl2, 6.464700000000004 , TlCl3_2dm-1475
Hg4I8, 5.500899999999999 , HgI2_2dm-3966
Br10Sb2, 7.049799999999999 , SbBr5_2dm-2230
Ta3Te6, 7.2864999999999895 , TaTe2_2dm-4746
Br4Se4, 6.263999999999999 , SeBr_2dm-351
N4Pb6, 6.695499999999999 , Pb3N2_2dm-3284
Co3CrO8, 6.149299999999999 , CrCo3O8_2dm-5117
I10Y7, 7.696999999999996 , Y7I10_2dm-603
Bi4Se6, 12.5875 , Bi2Se3_2dm-427
In4S6, 6.272299999999998 , In2S3_2dm-2524
AuF, 6.0172 , AuF_2dm-634
I2K4, 3.6938999999999997 , K2I_2dm-6099
Cu3F8Li2, 5.789500000000004 , Li2Cu3F8_2dm-5438
Co2MnO6, 5.9087999999999985 , Mn(CoO3)2_2dm-4103
CoSr2, 4.132799999999997 , Sr2Co_2dm-1129
H2Li2O8Te2, 5.628600000000005 , LiTeHO4_2dm-4319
F8Zr2, 6.291099999999996 , ZrF4_2dm-1746
Cl4Sb16, 6.847299999999999 , Sb4Cl_2dm-541
Al4F4, 5.506599999999997 , AlF_2dm-1786
I10Re4, 8.135699999999998 , Re2I5_2dm-1822
Br8Re3, 9.038900000000002 , Re3Br8_2dm-1238
Ni3Sb6, 4.473399999999995 , NiSb2_2dm-1028
Br6Ca3, 6.0013 , CaBr2_2dm-2666
B8Te6, 5.911099999999997 , B4Te3_2dm-171
Ga2Sb2, 3.953299999999995 , GaSb_2dm-417
In2S6Zn3, 6.303399999999997 , Zn3(InS3)2_2dm-4786
GeSr3, 4.080299999999999 , Sr3Ge_2dm-6015
I2Sc, 5.222000000000001 , ScI2_2dm-1504
Ca4Sb2, 4.0387999999999975 , Ca2Sb_2dm-2945
H6W2, 4.121799999999999 , H3W_2dm-3001
Al18Se9, 4.219699999999998 , Al2Se_2dm-909
I6P2, 6.110999999999994 , PI3_2dm-754
Ca2K2, 3.421300000000002 , KCa_2dm-2053
Bi3F11Rb2, 10.6011 , Rb2Bi3F11_2dm-4987
Al4Sb4, 3.9070999999999976 , AlSb_2dm-2566
C4O8Pb2, 5.853300000000002 , Pb(CO2)2_2dm-3468
Al2H6O6, 3.1586000000000034 , Al(HO)3_2dm-4905
F6Li2O3Ta2, 6.735899999999998 , Li2Ta2(OF2)3_2dm-5293
C4Ir2, 4.357999999999998 , IrC2_2dm-3031
Hg12S12, 4.377999999999997 , HgS_2dm-2300
I10Pr4, 7.985299999999998 , Pr2I5_2dm-3817
Cr3Li2O6, 4.381600000000002 , Li2Cr3O6_2dm-5021
O8SnW2, 7.258299999999997 , Sn(WO4)2_2dm-4299
Cu4O12Se4, 4.9109000000000025 , CuSeO3_2dm-5770
In2Te2, 6.1183 , InTe_2dm-145
C6H2, 3.4538000000000046 , HC3_2dm-1376
Bi2La2O2S4, 8.196000000000002 , LaBiS2O_2dm-3177
I6Pb5S2, 8.006400000000003 , Pb5(SI3)2_2dm-3646
Ba2, 3.8190999999999997 , Ba_2dm-5961
P4Te6, 7.5255999999999945 , Te3P2_2dm-798
Ca4H12O16P4, 3.828100000000002 , CaPH3O4_2dm-3677
Si4Sr8, 3.8080000000000016 , Sr2Si_2dm-6012
