#Material, Thickness (Ang), Material_id
Rb2Sr2, 2.670548915863037 , RbSr_2dm-2107
I, 6.468215465545654 , I_2dm-4714
Cl18Re6, 7.667326927185059 , ReCl3_2dm-3697
Ga2Mg, 2.305694580078125 , MgGa2_2dm-3354
MnO8Re2, 7.554021835327148 , Mn(ReO4)2_2dm-5157
Rb2Sr2, 2.670548915863037 , RbSr_2dm-2107
Fe3Te4, 10.040274620056152 , Fe3Te4_2dm-2186
Cu2DyS2, 2.9130353927612305 , Dy(CuS)2_2dm-3332
Cu2F2O4, 4.207103729248047 , CuO2F_2dm-4434
Ce4Se8, 6.729530334472656 , CeSe2_2dm-3493
Bi7Cu4S12, 24.229183197021484 , Cu4Bi7S12_2dm-5096
AlBi, 7.80438232421875 , AlBi_2dm-6396
Br2Gd2, 6.1746625900268555 , GdBr_2dm-5865
Sr2Zn, 2.888242721557617 , Sr2Zn_2dm-1216
Ni2Tl, 1.7792272567749023 , TlNi2_2dm-6094
Al4Cl4, 6.235349178314209 , AlCl_2dm-104
Se2Sn2, 5.267122268676758 , SnSe_2dm-4801
BrH3O, 3.1202993392944336 , H3BrO_2dm-5037
Mg2P, 1.9352744817733765 , Mg2P_2dm-143
Cl2Cu2, 3.1166086196899414 , CuCl_2dm-1748
F24Ge10, 8.254984855651855 , Ge5F12_2dm-5872
Ge2Sb6, 6.563649654388428 , GeSb3_2dm-1825
Br14Re6Te14, 19.535612106323242 , Re3(TeBr)7_2dm-5088
Mg4Ti4, 1.6599727869033813 , MgTi_2dm-3145
Au4Te2, 3.4417757987976074 , TeAu2_2dm-1349
Fe4S10Zn2, 6.556731700897217 , ZnFe2S5_2dm-5309
Mo3O8, 7.554112911224365 , Mo3O8_2dm-2781
Cr2Li2O26P8, 7.847795009613037 , LiCrP4O13_2dm-5893
Er4O26Te10, 12.724266052246094 , Er2Te5O13_2dm-4543
F2La2, 5.936471939086914 , LaF_2dm-1209
Cl10V2, 7.744785785675049 , VCl5_2dm-411
Ga2I6, 7.161317825317383 , GaI3_2dm-2743
C4Ca2H12O14, 3.0807695388793945 , CaH6C2O7_2dm-4662
Ba2H8O6, 2.840458393096924 , BaH4O3_2dm-5880
In4N4, 3.483212471008301 , InN_2dm-2756
C, 3.3247427940368652 , C_2dm-3274
Be2Sb, 3.025637626647949 , Be2Sb_2dm-2483
BaSn2, 1.9677366018295288 , BaSn2_2dm-5516
Ga2Te5, 10.098145484924316 , Ga2Te5_2dm-1708
I8Rh2, 7.544800281524658 , RhI4_2dm-1097
HoSb2, 4.74423885345459 , HoSb2_2dm-3946
C2HgN2S2, 5.532975673675537 , HgC2(SN)2_2dm-4287
