#Material, Thickness (Ang), Material_id
Fe2K4O14P4, 6.714299999999996 , a42f6377-2f9b-49a3-ab58-7cabf1ecf53a
I2N2Ti2, 5.035900000000004 , cb7b66f3-f9c5-4671-8231-b1fd06304cda
F28K4Sb8, 6.805399999999997 , 51417703-a4f3-42d4-920f-85ebf6f906ed
F16K4O4V4, 5.891099999999998 , ea79dde9-1634-4d30-a728-99bafd1bfd20
Cu2O4, 4.6151000000000035 , 1c800aae-f351-4445-ad69-8168ae6338b4
Cu2Se6Tl2Zr2, 5.930199999999998 , 714be3a2-6bdd-40a0-bf77-1be4112deb51
AuC4H12NaO12S4, 5.450300000000001 , 7b2a7f10-c66a-4be7-a4ea-7d5d8bff0018
Bi6Se5, 13.3915 , 6b65b2bc-b779-481f-b0f7-9cca7fe44ed8
Ag4I4O12, 5.5689 , 323356b8-7039-4af9-b520-2aed7eb76e08
Ag2C14H8N8, 4.277699999999999 , 96327cd3-9ddd-4cc8-a68f-0957b2971378
Cu2H8I4O16, 6.239499999999998 , 333379f0-19c3-4678-9b4e-d0fe60144109
P2S10Ti2Tl2, 6.879199999999995 , 01bdefba-82ba-4e56-90c4-ebbae0ee9480
C8Cu4H12N16, 3.8492999999999995 , 04f3a93a-01aa-47e8-8e3e-abcdaad9488d
C14H8N6O2Tl2, 4.590499999999999 , ee0e7b70-e75d-4094-87a4-5af3ad939e8b
AuC4H12NaO12S4, 5.450300000000001 , 2b3b1060-eb9f-4aaa-aea3-fc6010650663
Ba2I4O2, 5.6777999999999995 , 38b532ee-008b-4e79-a9e9-51ed76fa8ef0
Cu4K2Nb2Se8, 5.452099999999998 , c29d047b-0e81-41dc-bcaa-32549d016fc5
Ge3O9Sb2, 6.820000000000002 , 4029c544-eb13-4a69-b6f7-3b1f4694ac9d
Ag2C4Cl2H4N4S4, 5.063799999999997 , da2a8d8a-8270-4a10-a27b-608f4ebeec0d
Ge2Mn2Sr2, 3.2250999999999976 , 844a5cbe-7912-4c06-9e70-56e33694e1c1
B2H2O8Pb4, 6.424000000000001 , 65f14cab-4aa0-4a69-8e3f-ed668de84f0e
I2S2Tl2, 5.597599999999999 , 738d0d54-000e-4201-a622-f1edb1936054
Br6Ir2, 6.797000000000001 , acd82790-4d66-4f1d-85eb-5b9cb457a954
C8N8Pt2Tl4, 5.956999999999999 , f7aff3bf-dc1e-4bf9-9e7d-af1a3b0342e6
Nb2Ni2Te10, 8.958799999999991 , d8b93910-b971-461b-83f4-3cbfba42a518
Cu2Se8Tl2Zr3, 7.479399999999996 , 5702fc76-afc1-4d60-9e10-9ae6a82d1a7c
Bi8Co4O28S4, 8.783500000000002 , 692253ed-571b-478e-b209-f47a34e292e2
Na4O10Te2, 5.9819 , 0b9d3db3-0e19-4c82-b5ee-a30c3d96fbb4
Cu2Pb2Se6Tb2, 6.597899999999998 , 0c4de889-ef18-457a-a464-ee160c23bcf2
Gd2I2S2, 5.399099999999999 , 875e68b2-888e-4cf8-ac56-365c03ff5b9f
Rb2Sb4Se8, 7.608500000000001 , 90aec11c-4f01-4e72-862f-610a5fb06397
Cu6K2Te4, 4.821 , 59b0eeba-ae47-4180-84aa-f96621e9f89d
Cl4H8O12Zn2, 5.848300000000002 , f764152c-2797-4f5e-b504-1fc5aa45895e
Sm, 4.108399999999999 , 383913a5-a427-4cce-bab9-aa3297f665d8
Mo6O18Tl2, 7.763200000000003 , 8bd58fdc-74af-49fe-9b01-ed8d8eb7227b
Au4O14Se4, 7.413799999999998 , 241d33e8-0d4f-4184-b8d5-f91b081dfecd
Cl2K2O6, 5.3383 , 02df87d8-7c9d-4a29-be36-429825d40a3b
Hg4O4, 4.0968 , e46e5e7f-d190-4672-a61b-4d2591b3f841
B16S24, 5.928399999999994 , 8f098b79-c8bb-4cec-8f42-0b8205112929
Au4Cs4O4, 4.522600000000001 , 13e6a922-0dab-4ee1-b5ea-38d831fbf196
Cl6HoNa3, 6.578899999999996 , a67fecb6-cbf3-4953-9ef8-bbafdae9f159
H2Si2, 2.9358999999999984 , 2e3fb27d-4321-418f-915e-73da90b1d82d
H2I2Sr2, 3.8001 , 8d902a20-536b-4708-bda7-2826aaeec72c
Cl4O4Sr2, 5.836899999999999 , 1f426bd1-6748-44b5-874c-094987ba69fb
Cl4In4O12Te4, 6.277300000000001 , cef51453-eb88-4193-b4d1-784ae4edcdb6
C11H16N2O6Zn, 4.374100000000001 , f45f3c16-7847-4148-acc9-9141b2d47ed7
In, 3.6318999999999972 , 13134d1d-49d1-4a2c-bc0a-1202ab74c62b
Cu2Hf2K2S6, 4.7604 , a84b6403-d03c-4b8a-8599-06f53dc66ed7
Br24Mo12, 6.586700000000002 , d81d3964-d2db-48fe-a0d4-414e9937084f
I6Rb2Sn2, 6.355699999999998 , 2031007b-e65b-475a-bb27-58abb1f55b47
O16P4W2, 6.6881999999999975 , 8fab71f4-df2b-4cb4-8bc2-4d3cf340a077
Hg4I2O2, 5.1799 , b9fa73fe-8967-404c-8a9c-65ff51ce47ba
S12Tl16, 7.6275999999999975 , 76d02f42-8520-46b5-9315-c70ca7fa5574
IO3Tl, 6.067500000000003 , aac59252-8885-410a-9c9c-662d7240c233
Ca2Cl2Cu2O6Sm2, 5.3915 , bc7c3cee-20a3-4dfa-a237-a27d8ff31f74
CdH4Na2O10S2, 5.9333 , b07a3d8b-9e83-4573-b4fc-a2fc7e617f33
Bi2O4Y, 10.2464 , e34cd013-5c71-432c-a2f2-6a00d15405ef
B4N4Na6, 3.7749999999999977 , 352ba14d-f3e6-4f30-b38b-3a4234388c03
Bi2K2P4Se12, 9.547599999999996 , 756b35ea-0d33-433c-a51b-6a85ba759250
Co2O8P4, 6.2419999999999956 , bdd1a20b-44d7-4df9-ab29-06a40f050b4e
Ca2H8O12S2, 4.5687000000000015 , 44eded98-0deb-45fd-8763-e70a81abf1de
Ba8Se20Sn4, 8.661099999999996 , 687c6666-8b62-415b-b1fa-a24d644c2751
Al4O12, 5.15 , 6490a4ff-d443-4f4e-85ab-68efe215dace
C6CuH4N8O4, 5.0406999999999975 , 3c58cb95-e739-4629-bee8-a71656ea5a44
C8H10N2Pb2S4, 4.675299999999998 , 62bec9b0-e8cc-4097-b980-fe48a1c4ba31
B4H24Li4O4, 3.409000000000002 , 1b3cd221-b61a-4b49-bfe8-e036d978e1f5
Br2La, 6.267699999999999 , 6a2f09d5-2720-494e-80d1-7151cdcf500b
C8Co2H12O12, 3.820300000000002 , 2a1ec672-e724-4ad0-8bbe-3a755ae6351e
I2Mn2Sb2Se4, 6.2269 , 42dc525f-d546-454d-92df-c1199bd299b8
C16CoH12N8, 4.5277 , ad2d6582-381f-4d1c-89e8-692a7302f96d
Ag2N6, 4.4921999999999995 , 22295234-2bb2-48de-8d0b-52f59ca573e2
Br2C2La2, 5.049299999999998 , 85ea07d1-a469-48cd-a76d-30d2cfda4db6
Br2La2O2, 5.828800000000001 , d8ea21ef-dd9c-43ff-b4ae-4f4d55049da3
NbSe2, 6.533400000000005 , 3cbd50a0-9a62-4fed-91c4-7d034502af5f
Ir2P2, 4.651399999999995 , 1bbfaff3-a56b-4c54-8ba6-4c0219f68815
Br2Zn, 5.9039 , 8f15c4f9-dcfe-49c4-9259-c80d1f8f0bf1
BaCl2O8, 6.3428999999999975 , cff9d4f7-b56e-4a32-a688-1276c49f661c
As4Ga2K4Na2, 4.4518999999999975 , c47c8f11-d5dc-4bd0-8719-0fd1598bc75d
K4S10, 6.147899999999996 , 97eed324-f4d8-4b8f-9a19-2f85321773e9
Cl2Cu4H6O6, 3.6707 , e3eb64b1-de18-4223-8f28-bdc638e5fe2e
Br6Tb2, 6.6496 , 2e9366dd-bf64-42f8-b515-b476298fd1a3
O10V4, 5.430099999999999 , ae9a9302-87dd-4da4-b060-dea91957a4d7
Ni4Ta2Te6, 6.522999999999999 , c64441da-76e3-40df-a965-ef6f53f299d6
Cl4Cu4H4O4, 3.922800000000002 , e26a9bd3-9113-4f21-a854-2e4ef5f63979
Bi2Ga2In4S12, 8.601700000000001 , a1860828-e49b-428c-a58b-fc253eeec7ac
Cl10H6Ir2K4N2, 5.696300000000001 , 67866f7b-7dae-4c36-8576-b7da1cc8723f
Cl6IrN4, 6.910699999999999 , 1a21b5b4-f59a-486f-9a42-69aae6a6f3a1
F4K4O10P4, 6.486499999999998 , 7f7c0165-909c-4618-b2cb-cf9a2eff1467
CoH2O2, 3.318600000000002 , f2bbd535-2f66-40de-8310-65698a5c971d
O16S4Sn4, 5.822099999999999 , b83367f6-25bc-46a7-b040-7ea3a654ce19
Te2Zn, 6.876899999999994 , 3f046c5c-e1ae-4e41-bab0-0b08208699bd
F10K2N2O2Os2, 6.533699999999999 , ce29dfcd-c50a-4398-bc26-1b5cdd8cca4f
C12Cd2N10S4, 5.999299999999996 , 30eb0040-f61b-48a1-a71e-01989731be9c
Ge2K4Se6, 5.528799999999999 , 35ed7585-8cda-4c8a-b095-fda1f4dd30a4
C4Cu2H8N16O4, 4.198499999999999 , e961380c-3a8e-49c0-ab61-6d53baa3c5f1
Gd2O2S4Sb2, 6.2213 , b11fbc52-b1e0-4de2-95b1-6ebeb93a5f54
AgBrO2, 5.588400000000002 , 3f430386-44e1-43bf-a3bf-cec5c06fe39c
F8O2PbV2, 6.9838 , 0d029aa8-a7d9-46dd-985d-5189840711e4
O8Te4, 5.703400000000004 , 92d3f642-3cdc-4d91-8130-42320b9adfb8
Co2K4Se4, 4.821599999999997 , f80ce4b2-2c47-4836-8c0e-4f7959cfde99
Br2Mn, 6.116499999999999 , 16c8fe1d-9a63-4801-ac70-62c5e76d3ef3
FeSe2, 7.014999999999997 , cbc674a5-7ffb-4b7b-bc17-f90198da9e30
Br28Ta12, 8.916299999999996 , 97063c53-3aa4-4572-9797-b5c2a313d135
Ba4Si2Te8, 8.840099999999996 , 02187179-4b1b-4a02-a4ab-9ca8b06c5cc0
LiS4Ti2, 5.0333999999999985 , d14dc74d-e241-4cab-a1d6-c2cdd9f359d2
C8F18K2O6S2, 6.470699999999997 , e4e98754-ceda-46d9-b885-4123500ff80f
Co2O16Se4, 6.342600000000001 , 076f8637-4b45-4b30-85b6-a51b7a5930e9
Fe3O14S2, 6.799299999999996 , 9ae673c7-4b5e-46cc-93ce-92cf6b084aae
Cr2O4, 5.313900000000007 , 587afca4-cbd5-4323-bf4d-22ed4f691c33
C8CuH14O8P2, 4.393200000000002 , a3014aa1-b97f-457c-acf8-efb09f1c187f
Ca2H12O14P4, 4.3532 , c25b51b3-270f-4f13-8bb6-c25aa9adc6bd
F2Ho2Se2, 6.159800000000001 , c69307e0-643a-4efa-b968-21c7e6de5a69
O2S4Sb2Sm2, 6.214300000000001 , 3ebcf5bb-7d77-48de-be42-120021c3b226
AgInP2Se6, 8.606699999999996 , 2a17cf73-4066-40ad-bca2-d7ace3b4811b
As2F8K2O4, 6.1663000000000014 , 352abee5-b09e-4e68-a9ff-4ffa8c3d4864
I2Pr2Si2, 4.331500000000003 , 985bbd47-05ab-471b-b438-4082be0b9b80
Na4O10Si2, 5.420300000000002 , 541d33a9-1980-43fc-ae14-95cab7b1f0d3
Cu2F4, 5.062300000000001 , f5cbf200-fc51-4a3e-9b28-3722d091d509
