#Material, Thickness (Ang), Material_id
Fe2K4O14P4, 6.261710166931152 , a42f6377-2f9b-49a3-ab58-7cabf1ecf53a
I2N2Ti2, 5.419323444366455 , cb7b66f3-f9c5-4671-8231-b1fd06304cda
F28K4Sb8, 8.037967681884766 , 51417703-a4f3-42d4-920f-85ebf6f906ed
F16K4O4V4, 6.723689079284668 , ea79dde9-1634-4d30-a728-99bafd1bfd20
Cu2O4, 3.4240212440490723 , 1c800aae-f351-4445-ad69-8168ae6338b4
Cu2Se6Tl2Zr2, 6.856756687164307 , 714be3a2-6bdd-40a0-bf77-1be4112deb51
AuC4H12NaO12S4, 5.5319108963012695 , 7b2a7f10-c66a-4be7-a4ea-7d5d8bff0018
Bi6Se5, 26.255464553833008 , 6b65b2bc-b779-481f-b0f7-9cca7fe44ed8
Ag4I4O12, 4.4275126457214355 , 323356b8-7039-4af9-b520-2aed7eb76e08
Ag2C14H8N8, 3.2776551246643066 , 96327cd3-9ddd-4cc8-a68f-0957b2971378
Cu2H8I4O16, 4.658942222595215 , 333379f0-19c3-4678-9b4e-d0fe60144109
P2S10Ti2Tl2, 7.338677883148193 , 01bdefba-82ba-4e56-90c4-ebbae0ee9480
C8Cu4H12N16, 3.2088065147399902 , 04f3a93a-01aa-47e8-8e3e-abcdaad9488d
C14H8N6O2Tl2, 3.2643895149230957 , ee0e7b70-e75d-4094-87a4-5af3ad939e8b
AuC4H12NaO12S4, 5.5319108963012695 , 2b3b1060-eb9f-4aaa-aea3-fc6010650663
Ba2I4O2, 5.972538948059082 , 38b532ee-008b-4e79-a9e9-51ed76fa8ef0
Cu4K2Nb2Se8, 4.987027645111084 , c29d047b-0e81-41dc-bcaa-32549d016fc5
Ge3O9Sb2, 7.3435797691345215 , 4029c544-eb13-4a69-b6f7-3b1f4694ac9d
Ag2C4Cl2H4N4S4, 4.600069999694824 , da2a8d8a-8270-4a10-a27b-608f4ebeec0d
Ge2Mn2Sr2, 2.3675484657287598 , 844a5cbe-7912-4c06-9e70-56e33694e1c1
B2H2O8Pb4, 5.952507972717285 , 65f14cab-4aa0-4a69-8e3f-ed668de84f0e
I2S2Tl2, 6.594879627227783 , 738d0d54-000e-4201-a622-f1edb1936054
Br6Ir2, 7.021725654602051 , acd82790-4d66-4f1d-85eb-5b9cb457a954
C8N8Pt2Tl4, 5.2530598640441895 , f7aff3bf-dc1e-4bf9-9e7d-af1a3b0342e6
Nb2Ni2Te10, 9.599419593811035 , d8b93910-b971-461b-83f4-3cbfba42a518
Cu2Se8Tl2Zr3, 11.969385147094727 , 5702fc76-afc1-4d60-9e10-9ae6a82d1a7c
Bi8Co4O28S4, 10.453479766845703 , 692253ed-571b-478e-b209-f47a34e292e2
Na4O10Te2, 4.414140701293945 , 0b9d3db3-0e19-4c82-b5ee-a30c3d96fbb4
Cu2Pb2Se6Tb2, 6.75783634185791 , 0c4de889-ef18-457a-a464-ee160c23bcf2
Gd2I2S2, 6.432327747344971 , 875e68b2-888e-4cf8-ac56-365c03ff5b9f
Rb2Sb4Se8, 6.967127323150635 , 90aec11c-4f01-4e72-862f-610a5fb06397
Cu6K2Te4, 2.8015222549438477 , 59b0eeba-ae47-4180-84aa-f96621e9f89d
Cl4H8O12Zn2, 4.135898113250732 , f764152c-2797-4f5e-b504-1fc5aa45895e
Sm, 2.276947021484375 , 383913a5-a427-4cce-bab9-aa3297f665d8
Mo6O18Tl2, 9.56521987915039 , 8bd58fdc-74af-49fe-9b01-ed8d8eb7227b
Au4O14Se4, 7.459489345550537 , 241d33e8-0d4f-4184-b8d5-f91b081dfecd
Cl2K2O6, 4.783885955810547 , 02df87d8-7c9d-4a29-be36-429825d40a3b
Hg4O4, 3.339146137237549 , e46e5e7f-d190-4672-a61b-4d2591b3f841
B16S24, 6.216461181640625 , 8f098b79-c8bb-4cec-8f42-0b8205112929
Au4Cs4O4, 2.828395366668701 , 13e6a922-0dab-4ee1-b5ea-38d831fbf196
Cl6HoNa3, 6.844676971435547 , a67fecb6-cbf3-4953-9ef8-bbafdae9f159
H2Si2, 1.5003057718276978 , 2e3fb27d-4321-418f-915e-73da90b1d82d
H2I2Sr2, 2.8914551734924316 , 8d902a20-536b-4708-bda7-2826aaeec72c
Cl4O4Sr2, 6.605586528778076 , 1f426bd1-6748-44b5-874c-094987ba69fb
Cl4In4O12Te4, 6.9416985511779785 , cef51453-eb88-4193-b4d1-784ae4edcdb6
C11H16N2O6Zn, 3.0156660079956055 , f45f3c16-7847-4148-acc9-9141b2d47ed7
In, 3.353236198425293 , 13134d1d-49d1-4a2c-bc0a-1202ab74c62b
Cu2Hf2K2S6, 5.094376087188721 , a84b6403-d03c-4b8a-8599-06f53dc66ed7
Br24Mo12, 6.985306262969971 , d81d3964-d2db-48fe-a0d4-414e9937084f
I6Rb2Sn2, 6.7697882652282715 , 2031007b-e65b-475a-bb27-58abb1f55b47
O16P4W2, 7.114017486572266 , 8fab71f4-df2b-4cb4-8bc2-4d3cf340a077
Hg4I2O2, 4.057467937469482 , b9fa73fe-8967-404c-8a9c-65ff51ce47ba
S12Tl16, 6.957146167755127 , 76d02f42-8520-46b5-9315-c70ca7fa5574
IO3Tl, 5.348729610443115 , aac59252-8885-410a-9c9c-662d7240c233
Ca2Cl2Cu2O6Sm2, 3.787703037261963 , bc7c3cee-20a3-4dfa-a237-a27d8ff31f74
CdH4Na2O10S2, 4.826949119567871 , b07a3d8b-9e83-4573-b4fc-a2fc7e617f33
Bi2O4Y, 11.723310470581055 , e34cd013-5c71-432c-a2f2-6a00d15405ef
B4N4Na6, 3.1475486755371094 , 352ba14d-f3e6-4f30-b38b-3a4234388c03
Bi2K2P4Se12, 8.656793594360352 , 756b35ea-0d33-433c-a51b-6a85ba759250
Co2O8P4, 6.871114253997803 , bdd1a20b-44d7-4df9-ab29-06a40f050b4e
Ca2H8O12S2, 3.705164909362793 , 44eded98-0deb-45fd-8763-e70a81abf1de
Ba8Se20Sn4, 6.923912525177002 , 687c6666-8b62-415b-b1fa-a24d644c2751
